City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talnakh,RU,69.4865,88.3972,33.21,99,100,3.27,light snow
80,Khagaria,IN,25.5,86.4833,74.62,96,100,9.8,overcast clouds
81,Raudeberg,NO,61.9875,5.1352,48.96,1,78,21.39,broken clouds
82,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,94,91,4.61,light rain
83,Ribeira Grande,PT,38.5167,-28.7,71.85,79,74,7.58,broken clouds
84,Valparaiso,CL,-33.0393,-71.6273,57.43,82,0,9.22,clear sky
85,Bonavista,CA,48.6499,-53.1147,54.88,68,2,18.1,clear sky
86,West Odessa,US,31.8424,-102.4988,85.05,36,0,9.22,clear sky
87,Gilgit,PK,35.9221,74.3087,66.38,39,4,1.45,clear sky
88,Khani,GE,41.9563,42.9566,54.97,94,100,0.36,overcast clouds
89,Powell River,CA,49.8496,-124.5361,70.03,60,75,13.8,smoke
90,Vao,NC,-22.6667,167.4833,68.31,60,5,9.28,clear sky
91,Esil,KZ,51.9556,66.4042,42.33,37,24,4.18,few clouds
92,Dolny Kubin,SK,49.2098,19.3034,43.93,92,47,1.9,scattered clouds
93,Codrington,AU,-38.2667,141.9667,51.4,93,100,18.95,moderate rain
94,Tiksi,RU,71.6872,128.8694,21.24,86,100,13.49,overcast clouds
95,Humboldt,US,40.6665,-123.9178,76.68,45,70,6.53,broken clouds
96,Panjab,AF,34.388,67.0233,41.45,27,0,4.92,clear sky
97,Millerovo,RU,48.9226,40.3967,51.87,84,12,6.51,few clouds
98,New Norfolk,AU,-42.7826,147.0587,48.92,66,100,1.01,overcast clouds
99,Campo Bom,BR,-29.6789,-51.0533,63.9,74,0,4.23,clear sky
100,Port Elizabeth,ZA,-33.918,25.5701,58.32,91,0,2.3,clear sky
101,Nishihara,JP,26.1842,127.7558,79.88,89,20,5.75,few clouds
102,Yatou,CN,37.15,122.3833,49.26,54,10,17.92,clear sky
103,Luhacovice,CZ,49.0998,17.7575,46.11,91,74,2.66,broken clouds
104,Nantucket,US,41.2835,-70.0995,62.71,94,100,16.11,mist
105,Abha,SA,18.2164,42.5053,64.65,22,0,4.61,clear sky
106,Dikson,RU,73.5069,80.5464,33.24,87,100,18.34,overcast clouds
107,Hanyang,CN,32.1371,105.5126,56.17,92,100,4.61,overcast clouds
108,Khasan,RU,42.4308,130.6434,38.8,54,0,10.09,clear sky
109,Carnarvon,AU,-24.8667,113.6333,65.82,76,0,10.22,clear sky
110,Esperance,AU,-33.8667,121.9,56.55,84,3,17.6,clear sky
111,Kalachinsk,RU,55.0529,74.5751,40.84,73,100,7.16,overcast clouds
112,Nikolskoye,RU,59.7035,30.7861,43.81,96,72,1.19,broken clouds
113,Trairi,BR,-3.2778,-39.2689,78.15,78,100,11.61,overcast clouds
114,Poum,NC,-20.2333,164.0167,73.15,65,7,8.95,clear sky
115,Broome,US,42.2506,-75.833,54.19,77,100,8.05,light rain
116,Peniche,PT,39.3558,-9.3811,61.29,87,0,9.48,clear sky
117,Barth,DE,54.3635,12.7249,55.06,80,98,13.65,overcast clouds
118,Pierre,US,44.3683,-100.351,58.12,100,100,5.75,moderate rain
119,Bredasdorp,ZA,-34.5322,20.0403,48.92,81,1,3.33,clear sky
120,Kulu,TR,39.0951,33.0799,59.65,55,98,7.45,light rain
121,Mackenzie,CA,55.2999,-123.1698,59.22,55,0,5.75,clear sky
122,Juneau,US,58.3019,-134.4197,58.1,90,100,0.0,light rain
123,Harta,HU,46.6985,19.0305,52.11,75,9,4.83,clear sky
124,Bowen,AU,-20.0167,148.2333,75.04,71,70,16.51,broken clouds
125,Winneba,GH,5.3511,-0.6231,75.78,94,84,7.7,broken clouds
126,Dingle,PH,10.9995,122.6711,76.26,91,100,5.39,overcast clouds
127,Monrovia,LR,6.3005,-10.7969,76.77,91,74,7.65,broken clouds
128,Areia Branca,BR,-4.9561,-37.1369,79.41,72,16,23.15,few clouds
129,Tasiilaq,GL,65.6145,-37.6368,35.76,65,49,7.47,scattered clouds
130,Banswada,IN,18.3833,77.8833,73.62,88,100,3.53,overcast clouds
131,Saldanha,ZA,-33.0117,17.9442,48.25,66,0,13.11,clear sky
132,Saskylakh,RU,71.9167,114.0833,22.87,96,100,4.88,light snow
133,Celestun,MX,20.8667,-90.4,80.94,62,52,12.59,broken clouds
134,Torbay,CA,47.6666,-52.7314,52.27,81,20,18.41,few clouds
135,Tombouctou,ML,20.0,-3.0,93.45,10,0,11.48,clear sky
136,Qaanaaq,GL,77.484,-69.3632,15.98,77,99,4.59,overcast clouds
137,Albany,US,42.6001,-73.9662,54.41,69,100,3.18,overcast clouds
138,Bukachacha,RU,52.9833,116.9167,21.25,59,40,3.27,scattered clouds
139,Eskil,TR,38.4017,33.4131,63.25,55,93,11.21,overcast clouds
140,Ostrovnoy,RU,68.0531,39.5131,45.84,88,80,13.15,broken clouds
141,Oranjestad,AW,12.524,-70.027,84.9,80,20,13.8,few clouds
142,Kahului,US,20.8947,-156.47,84.22,76,40,19.57,scattered clouds
143,Sambava,MG,-14.2667,50.1667,66.85,88,28,9.19,scattered clouds
144,Carauari,BR,-4.8828,-66.8958,80.69,78,100,2.17,overcast clouds
145,Guerrero Negro,MX,27.9769,-114.0611,75.43,64,20,11.61,few clouds
146,Dakar,SN,14.6937,-17.4441,84.33,84,20,4.61,few clouds
147,Wasilla,US,61.5814,-149.4394,54.39,58,0,14.97,clear sky
148,Tepic,MX,21.5,-104.9,80.1,61,75,9.22,broken clouds
149,Doha,QA,25.2867,51.5333,85.98,84,0,8.05,clear sky
150,Pitimbu,BR,-7.4706,-34.8086,77.59,75,36,10.16,scattered clouds
151,Mount Pleasant,US,32.7941,-79.8626,71.58,53,0,4.61,clear sky
152,Abu Dhabi,AE,24.4667,54.3667,86.02,83,0,5.75,clear sky
153,San Cristobal,VE,7.7669,-72.225,77.18,58,30,3.36,scattered clouds
154,Emerald,AU,-23.5333,148.1667,64.35,70,98,14.83,overcast clouds
155,Pangnirtung,CA,66.1451,-65.7125,34.79,67,100,6.98,overcast clouds
156,Lata,PT,40.1629,-8.3327,61.92,66,0,1.5,clear sky
157,Sarangani,PH,5.4033,125.4636,82.78,76,97,12.77,overcast clouds
158,Shelburne,CA,44.0787,-80.2041,63.39,65,48,5.99,scattered clouds
159,Kuytun,RU,54.3419,101.5036,25.27,92,82,2.91,broken clouds
160,Uyovu,TZ,-3.2833,31.5258,67.12,64,66,2.1,broken clouds
161,Itoman,JP,26.1247,127.6694,80.62,86,20,5.75,few clouds
162,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,40,6.91,scattered clouds
163,Saint Anthony,US,45.0205,-93.218,75.92,44,100,9.22,overcast clouds
164,Ketchikan,US,55.3422,-131.6461,57.67,88,75,8.05,broken clouds
165,Faanui,PF,-16.4833,-151.75,77.32,77,28,24.05,light rain
166,Boguchany,RU,58.3814,97.4531,24.84,96,15,4.07,few clouds
167,Yellowknife,CA,62.456,-114.3525,39.72,60,100,11.5,overcast clouds
168,Lebu,CL,-37.6167,-73.65,52.5,92,27,8.61,scattered clouds
169,Puerto Escondido,MX,15.85,-97.0667,86.83,54,40,5.75,scattered clouds
170,Alofi,NU,-19.0595,-169.9187,82.29,69,13,10.36,few clouds
171,Eregli,TR,37.5133,34.0467,62.35,57,39,3.15,scattered clouds
172,Broken Hill,AU,-31.95,141.4333,66.6,75,28,18.7,scattered clouds
173,Bethel,US,41.3712,-73.414,54.01,87,100,10.36,overcast clouds
174,Warrnambool,AU,-38.3833,142.4833,52.47,88,100,19.86,moderate rain
175,Montrose,US,38.4166,-108.2673,60.21,35,42,8.05,scattered clouds
